		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   22   22   17   30   36   20   32   39 22.138777 0.004665 FAILURE  76
100101000   26   27   18   25   17   33   29   16 11.484212 0.175743 SUCCESS  77
100110000   15   23   31   29   21   41   25   21 19.239305 0.013631 SUCCESS  78
100111000   21   24   22   27   28   22   15   12 12.074698 0.147902 SUCCESS  79
101000000   27   31   25   29   23   20   30   26  5.386054 0.715629 SUCCESS  80
101000100   21   26   35   25   28   19   22   19  8.637699 0.373775 SUCCESS  81
101001000   28   23   21   25   29   22   29   28  3.724485 0.881087 SUCCESS  82
101001100   19   17   22   21   18   20   19   22  8.319286 0.402919 SUCCESS  83
101010000   32   21   32   32   29   32   19   33 15.548106 0.049324 SUCCESS  84
101010100   30   23   27   33   26   27   24   30  6.565040 0.584203 SUCCESS  85
101011000   25   24   30   18   18   33   23   20  8.857476 0.354462 SUCCESS  86
101011100   22   20   21   26   22   37   19   22 10.111266 0.257303 SUCCESS  87
101100000   27   19   32   21   20   27   20   21  6.874184 0.550266 SUCCESS  88
101100100   20   25   22   20   23   36   32   30 11.461042 0.176919 SUCCESS  89
101101000   27   33   18   25   26   25   33   29  9.326820 0.315480 SUCCESS  90
101101100   20   25   27   29   21   34   19   19  8.883293 0.352237 SUCCESS  91
101110000   22   28   17   30   26   35   21   24  9.808079 0.278756 SUCCESS  92
101110100   30   24   20   26   25   25   16   24  5.290067 0.726171 SUCCESS  93
101111000   19   31   27   22   32   26   24   28  6.724577 0.566619 SUCCESS  94
101111100   28   24   29   35   34   24   22   24 10.378043 0.239488 SUCCESS  95
110000000   23   24   36   25   25   29   22   26  7.072116 0.528872 SUCCESS  96
110000010   19   24   25   23   22   33   21   16  8.195496 0.414610 SUCCESS  97
110000100   18   19   28   19   24   19   26   15  9.845812 0.276015 SUCCESS  98
110001000   29   24   19   21   26   17   23   20  5.958004 0.651936 SUCCESS  99
110001010   23   15   24   20   25   25   29   26  5.687917 0.682143 SUCCESS 100
110010000   27   33   23   21   30   18   24   38 14.902013 0.061079 SUCCESS 101
110010010   20   25   17   24   20   18   29   23  6.694788 0.569892 SUCCESS 102
110010100   26   23   18   28   18   25   27   24  4.518860 0.807543 SUCCESS 103
110011000   24   24   28   25   20   31   28   21  4.283195 0.830711 SUCCESS 104
110011010   25   20   26   19   19   35   15   24 11.923766 0.154638 SUCCESS 105
110100000   28   33   23   24   27   23   31   28  6.539223 0.587060 SUCCESS 106
110100010   29   27   33   29   32   22   24   23  7.996902 0.433773 SUCCESS 107
110100100   24   29   22   16   26   22   22   24  4.738638 0.785111 SUCCESS 108
110101000   20   16   33   27   23   26   23   28  8.053170 0.428294 SUCCESS 109
110101010   29   22   28   21   25   27   24   25  2.503794 0.961554 SUCCESS 110
110101100   26   24   24   13   25   26   20   19  7.804928 0.452754 SUCCESS 111
110110000   22   21   34   27   27   23   22   23  5.621719 0.689520 SUCCESS 112
110110010   19   28   16   20   24   31   26   26  7.662602 0.467102 SUCCESS 113
110110100   31   26   17   23   30   22   27   38 14.054679 0.080351 SUCCESS 114
110111000   21   26   21   22   23   28   23   23  2.129113 0.976796 SUCCESS 115
110111010   22   21   22   31   30   31   19   25  7.248865 0.510036 SUCCESS 116
110111100   22   22   26   21   23   23   34   33  8.291483 0.405528 SUCCESS 117
111000000   29   30   25   24   28   28   15   29  7.986972 0.434744 SUCCESS 118
111000010   22   21   33   23   27   32   23   17  9.087183 0.334995 SUCCESS 119
111000100   30   16   28   25   26   28   21   21  6.519363 0.589261 SUCCESS 120
111000110   11   26   26   31   30   23   29   25 11.993936 0.151475 SUCCESS 121
111001000   27   25   14   28   31   18   22   36 14.959606 0.059936 SUCCESS 122
111001010   26   29   21   30   18   25   33   20  8.528472 0.383619 SUCCESS 123
111001100   25   24   23   25   18   27   29   22  3.282282 0.915415 SUCCESS 124
111010000   28   30   22   25   24   25   22   26  2.512400 0.961150 SUCCESS 125
111010010   28   26   25   23   24   21   25   24  1.274497 0.995850 SUCCESS 126
111010100   18   17   31   23   25   31   33   23 11.061869 0.198218 SUCCESS 127
111010110   27   27   27   23   23   21   20   16  5.323166 0.722543 SUCCESS 128
111011000   16   18   31   33   27   14   29   20 16.288199 0.038436 SUCCESS 129
111011010   34   30   26   24   29   25   24   28  6.819240 0.556255 SUCCESS 130
111011100   24   24   18   23   23   19   19   31  6.229416 0.621551 SUCCESS 131
111100000   21   30   26   26   23   23   20   33  6.155936 0.629770 SUCCESS 132
111100010   28   21   30   23   34   29   35   23 12.098529 0.146862 SUCCESS 133
111100100   30   26   17   24   21   24   24   31  6.112908 0.634586 SUCCESS 134
111100110   28   26   19   31   26   24   19   24  5.096107 0.747256 SUCCESS 135
111101000   26   29   26   23   27   17   27   24  4.096517 0.848312 SUCCESS 136
111101010   19   17   35   26   20   30   25   25 10.603779 0.225176 SUCCESS 137
111101100   19   24   26   27   28   13   32   20 10.958600 0.204056 SUCCESS 138
111101110   23   18   22   23   24   24   21   25  2.662007 0.953748 SUCCESS 139
111110000   24   25   28   24   26   26   17   27  3.401438 0.906703 SUCCESS 140
111110010   25   29   17   29   17   22   36   31 14.240034 0.075720 SUCCESS 141
111110100   27   27   25   19   17   26   30   18  7.315063 0.503052 SUCCESS 142
111110110   30   21   27   31   26   17   22   24  6.629914 0.577036 SUCCESS 143
111111000   22   23   26   26   24   26   24   25  0.681363 0.999572 SUCCESS 144
111111010   20   28   26   23   22   25   20   22  2.883108 0.941477 SUCCESS 145
111111100   27   32   22   27   14   18   27   34 13.773338 0.087868 SUCCESS 146
111111110   21   25   34   27   26   18   29   32  9.885531 0.273152 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   24   30   23   34   31   22   30  9.563808 0.296984 SUCCESS   0
000000011   22   16   23   23   34   25   24   30  8.654910 0.372238 SUCCESS   1
000000101   27   21   21   28   22   22   22   22  2.789769 0.946850 SUCCESS   2
000000111   23   20   18   32   31   27   24   28  7.774477 0.455804 SUCCESS   3
000001001   23   23   30   19   32   22   14   26 10.111266 0.257303 SUCCESS   4
000001011   30   20   20   24   21   22   21   28  4.747243 0.784218 SUCCESS   5
000001101   19   22   34   21   28   27   28   21  7.748660 0.458399 SUCCESS   6
000001111   26   25   28   27   25   28   25   34  5.446294 0.708983 SUCCESS   7
000010001   26   25   26   28   38   14   25   22 13.460221 0.096965 SUCCESS   8
000010011   21   18   24   26   24   25   20   20  4.000530 0.857076 SUCCESS   9
000010101   18   17   20   25   27   27   27   20  6.568350 0.583837 SUCCESS  10
000010111   30   25   22   17   25   26   26   19  5.374800 0.716868 SUCCESS  11
000011001   28   28   24   23   22   26   22   33  4.919358 0.766159 SUCCESS  12
000011011   27   20   31   19   32   20   28   24  8.011466 0.432351 SUCCESS  13
000011101   32   21   21   31   22   34   26   28 10.080815 0.259400 SUCCESS  14
000011111   26   24   35   23   25   39   23   28 14.640531 0.066524 SUCCESS  15
000100011   23   27   20   23   33   30   27   24  6.029498 0.643928 SUCCESS  16
000100101   22   28   28   25   27   12   20   27  9.263931 0.320523 SUCCESS  17
000100111   18   17   21   23   29   24   17   20  8.668150 0.371059 SUCCESS  18
000101001   23   28   26   28   32   27   12   18 12.272630 0.139448 SUCCESS  19
000101011   22   20   21   21   28   21   23   29  4.060770 0.851599 SUCCESS  20
000101101   25   27   23   21   27   20   18   22  3.958825 0.860819 SUCCESS  21
000101111   26   25   16   21   23   28   16   20  8.041917 0.429386 SUCCESS  22
000110011   29   25   25   24   18   25   19   35  8.680727 0.369941 SUCCESS  23
000110101   15   22   27   17   23   30   24   21  8.500007 0.386211 SUCCESS  24
000110111   31   22   23   29   27   17   33   18 10.544862 0.228845 SUCCESS  25
000111001   22   28   31   25   21   31   33   25  8.140552 0.419863 SUCCESS  26
000111011   33   19   19   27   24   33   32   27 11.766877 0.161912 SUCCESS  27
000111101   12   32   19   22   22   23   22   27 11.296209 0.185474 SUCCESS  28
000111111   23   25   36   25   20   26   27   26  7.139638 0.521645 SUCCESS  29
001000011   34   22   28   27   23   23   24   26  5.266897 0.728706 SUCCESS  30
001000101   25   23   31   22   21   19   18   25  5.662099 0.685022 SUCCESS  31
