		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   21   24   23   22   24   19   29   24  2.967842 0.936359 SUCCESS   0
000000011   19   21   23   22   26   19   26   23  3.585469 0.892456 SUCCESS   1
000000101   19   24   20   26   24   17   24   23  4.585058 0.800864 SUCCESS   2
000000111   26   21   24   27   31   22   30   24  4.317618 0.827390 SUCCESS   3
000001001   29   23   27   23   28   25   21   19  3.638427 0.888185 SUCCESS   4
000001011   18   24   15   27   17   19   24   24  9.337411 0.314637 SUCCESS   5
000001101   20   26   23   26   37   24   30   25  9.199057 0.325783 SUCCESS   6
000001111   28   26   30   33   27   36   26   21 11.709285 0.164654 SUCCESS   7
000010001   22   26   22   30   27   20   21   27  3.807894 0.874027 SUCCESS   8
000010011   21   23   29   24   33   26   27   25  5.021303 0.755297 SUCCESS   9
000010101   29   26   29   23   21   20   26   22  3.647033 0.887484 SUCCESS  10
000010111   19   22   26   26   16   28   24   28  5.789861 0.670757 SUCCESS  11
000011001   34   29   20   19   20   22   23   23  8.086269 0.425089 SUCCESS  12
000011011   22   25   26   25   27   26   28   31  3.174379 0.922942 SUCCESS  13
000011101   16   22   21   19   26   32   26   18  9.355947 0.313164 SUCCESS  14
000011111   28   25   33   25   24   25   25   18  5.486675 0.704516 SUCCESS  15
000100011   15   23   26   31   24   25   25   25  5.832890 0.665944 SUCCESS  16
000100101   33   26   28   21   21   22   16   19  9.238114 0.322609 SUCCESS  17
000100111   26   19   25   19   26   37   25   35 14.206935 0.076529 SUCCESS  18
000101001   30   24   34   32   19   28   17   29 12.690339 0.122958 SUCCESS  19
000101011   41   17   23   26   33   21   31   24 19.664296 0.011684 SUCCESS  20
000101101   19   14   15   16   25   18   18   26 16.139254 0.040430 SUCCESS  21
000101111   19   20   30   28   25   21   22   28  5.231151 0.732609 SUCCESS  22
000110011   23   21   24   25   15   22   26   20  5.508520 0.702096 SUCCESS  23
000110101   20   25   16   21   26   28   19   24  6.212205 0.623475 SUCCESS  24
000110111   17   28   23   22   38   20   24   27 12.146192 0.144799 SUCCESS  25
000111001   21   21   23   31   27   24   25   16  6.204923 0.624289 SUCCESS  26
000111011   20   31   21   21   22   32   19   24  7.577869 0.475751 SUCCESS  27
000111101   21   29   26   23   25   37   32   17 13.088189 0.108851 SUCCESS  28
000111111   26   16   26   23   25   27   26   15  7.441501 0.489831 SUCCESS  29
001000011   19   25   28   31   26   26   18   15  9.340059 0.314426 SUCCESS  30
001000101   27   20   21   27   25   22   26   19  3.484848 0.900362 SUCCESS  31
001000111   13   24   30   20   27   23   26   31  9.984827 0.266092 SUCCESS  32
001001011   22   20   29   17   20   33   19   10 18.251631 0.019417 SUCCESS  33
001001101   23   16   31   39   26   13   18   20 22.117593 0.004703 FAILURE  34
001001111   32   20   23   26   30   27   24   31  6.928467 0.544370 SUCCESS  35
001010011   27   28   34   27   23   28   17   31  9.826614 0.277407 SUCCESS  36
001010101   27   25   20   32   29   22   32   26  7.267400 0.508076 SUCCESS  37
001010111   46   21   29   27   24   16   32   20 27.705365 0.000534 FAILURE  38
001011011   26   26   16   18   29   26   18   30  9.009731 0.341476 SUCCESS  39
001011101   28   28   21   21   26   22   24   22  2.680542 0.952780 SUCCESS  40
001011111   24   25   33   35   21   22   31   24 10.504482 0.231386 SUCCESS  41
001100101   23   31   28   10   26   28   28   30 13.799155 0.087153 SUCCESS  42
001100111   21   31   27   23   22   20   26   17  6.196317 0.625252 SUCCESS  43
001101011   32   28   19   25   21   26   18   28  7.129709 0.522705 SUCCESS  44
001101101   21   23   22   27   26   21   23   26  1.892124 0.984142 SUCCESS  45
001101111   14   26   25   22   29   26   23   23  6.120189 0.633771 SUCCESS  46
001110101   25   22   22   26   33   25   21   27  4.537396 0.805680 SUCCESS  47
001110111   21   35   26   17   19   28   24   25  9.485033 0.303044 SUCCESS  48
001111011   25   36   34   27   23   35   25   26 14.878844 0.061545 SUCCESS  49
001111101   28   29   26   24   15   26   31   33 10.393931 0.238458 SUCCESS  50
001111111   26   19   20   24   20   25   26   22  3.357086 0.909994 SUCCESS  51
010000011   25   28   26   30   15   26   21   15 10.085448 0.259080 SUCCESS  52
010000111   18   26   31   21   19   32   20   17 11.000304 0.201682 SUCCESS  53
010001011   24   24   20   19   23   20   27   24  3.263747 0.916733 SUCCESS  54
010001111   20   21   24   16   25   21   27   29  5.992427 0.648080 SUCCESS  55
010010011   28   21   14   27   31   20   20   22  9.635964 0.291511 SUCCESS  56
010010111   28   26   26   29   25   25   23   11  9.383088 0.311016 SUCCESS  57
