		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   27   22   25   22   22   26   24   21  1.637924 0.990174 SUCCESS  76
100101000   29   26   20   28   31   27   24   18  6.249275 0.619331 SUCCESS  77
100110000   21   22   15   21   24   14   24   18 11.293562 0.185614 SUCCESS  78
100111000   24   20   30   26   28   35   27   23  7.945268 0.438835 SUCCESS  79
101000000   33   29   31   19   23   28   21   23  8.317300 0.403105 SUCCESS  80
101000100   27   15   18   19   24   29   27   31 10.035138 0.262568 SUCCESS  81
101001000   30   24   27   18   26   24   15   12 13.727661 0.089146 SUCCESS  82
101001100   27   21   33   22   25   22   22   24  4.663834 0.792827 SUCCESS  83
101010000   20   28   27   27   20   17   15   29  9.720698 0.285179 SUCCESS  84
101010100   23   18   27   25   15   25   27   22  6.407489 0.601686 SUCCESS  85
101011000   19   24   29   30   23   21   29   24  4.943851 0.763560 SUCCESS  86
101011100   23   20   23   30   19   18   27   25  5.585972 0.693498 SUCCESS  87
101100000   28   18   24   24   27   25   20   39 12.452026 0.132146 SUCCESS  88
101100100   23   20   31   23   27   29   20   26  4.943851 0.763560 SUCCESS  89
101101000   18   21   19   20   26   23   30   25  5.814355 0.668018 SUCCESS  90
101101100   28   19   28   25   21   24   19   33  7.214442 0.513683 SUCCESS  91
101110000   27   24   22   24   25   28   26   26  1.326132 0.995233 SUCCESS  92
101110100   33   23   26   23   22   26   27   31  5.894454 0.659053 SUCCESS  93
101111000   17   22   19   23   25   26   13   19 10.743456 0.216663 SUCCESS  94
101111100   28   23   25   24   25   26   29   21  2.164860 0.975536 SUCCESS  95
110000000   22   25   25   30   27   26   21   26  2.597133 0.957047 SUCCESS  96
110000010   29   23   26   26   23   26   23   28  2.021211 0.980355 SUCCESS  97
110000100   25   28   26   23   25   24   26   18  2.621626 0.955818 SUCCESS  98
110001000   20   26   18   29   25   28   26   25  4.248773 0.834010 SUCCESS  99
110001010   28   20   29   27   26   24   15   22  6.654407 0.574336 SUCCESS 100
110010000   21   22   26   18   26   20   27   25  3.806570 0.874140 SUCCESS 101
110010010   26   25   26   24   26   28   23   25  0.995804 0.998275 SUCCESS 102
110010100   25   20   19   25   27   22   25   20  3.450425 0.903003 SUCCESS 103
110011000   25   19   23   24   23   22   21   25  2.170818 0.975322 SUCCESS 104
110011010   22   25   27   25   22   21   38   22  9.375806 0.311592 SUCCESS 105
110100000   35   20   23   25   25   24   28   20  7.070792 0.529014 SUCCESS 106
110100010   18   23   18   17   22   20   22   21  7.667236 0.466632 SUCCESS 107
110100100   22   20   20   23   28   29   18   18  6.881466 0.549474 SUCCESS 108
110101000   27   29   25   26   19   14   19   29  9.255326 0.321217 SUCCESS 109
110101010   20   22   28   23   14   27   32   28  9.561160 0.297186 SUCCESS 110
110101100   22   32   24   26   23   19   25   22  4.383816 0.820941 SUCCESS 111
110110000   26   24   18   25   23   32   13   37 16.628457 0.034219 SUCCESS 112
110110010   25   22   24   23   22   24   19   21  2.323073 0.969471 SUCCESS 113
110110100   21   16   22   27   20   16   26   20  8.744277 0.364326 SUCCESS 114
110111000   27   32   25   28   35   27   27   24  8.641670 0.373420 SUCCESS 115
110111010   19   27   33   20   19   25   27   27  7.299175 0.504725 SUCCESS 116
110111100   18   28   22   23   27   25   25   27  3.214760 0.920166 SUCCESS 117
